"","D4_Feces_515F_806R_01","D4_Feces_515F_806R_02","D4_Feces_515F_806R_03","D4_Feces_515F_806R_04","D4_Feces_tr515F_806R_01","D4_Feces_tr515F_806R_02","D4_Feces_tr515F_806R_03","D4_Feces_tr515F_806R_04","D4_Feces_V1-tr515F_806R_01","D4_Feces_V1-tr515F_806R_02","D4_Feces_V1-tr515F_806R_03","D4_Feces_V1-tr515F_806R_04","D4_Feces_V2-tr515F_806R_01","D4_Feces_V2-tr515F_806R_02","D4_Feces_V2-tr515F_806R_03","D4_Feces_V2-tr515F_806R_04","D4_Feces_V3-tr515F_806R_01","D4_Feces_V3-tr515F_806R_02","D4_Feces_V3-tr515F_806R_03","D4_Feces_V3-tr515F_806R_04","D4_Feces_V4-tr515F_806R_01","D4_Feces_V4-tr515F_806R_02","D4_Feces_V4-tr515F_806R_03","D4_Feces_V4-tr515F_806R_04","D4_Feces_V5-tr515F_806R_01","D4_Feces_V5-tr515F_806R_02","D4_Feces_V5-tr515F_806R_03","D4_Feces_V5-tr515F_806R_04","D4_Feces_V6-tr515F_806R_01","D4_Feces_V6-tr515F_806R_02","D4_Feces_V6-tr515F_806R_03","D4_Feces_V6-tr515F_806R_04","D4_Feces_V7-tr515F_806R_01","D4_Feces_V7-tr515F_806R_02","D4_Feces_V7-tr515F_806R_03","D4_Feces_V7-tr515F_806R_04","D4_Feces_V8-tr515F_806R_01","D4_Feces_V8-tr515F_806R_02","D4_Feces_V8-tr515F_806R_03","D4_Feces_V8-tr515F_806R_04","D6_Skin_515F_806R_01","D6_Skin_515F_806R_02","D6_Skin_515F_806R_03","D6_Skin_515F_806R_04","D6_Skin_tr515F_806R_01","D6_Skin_tr515F_806R_02","D6_Skin_tr515F_806R_03","D6_Skin_tr515F_806R_04","D6_Skin_V1-tr515F_806R_01","D6_Skin_V1-tr515F_806R_02","D6_Skin_V1-tr515F_806R_03","D6_Skin_V1-tr515F_806R_04","D6_Skin_V2-tr515F_806R_01","D6_Skin_V2-tr515F_806R_02","D6_Skin_V2-tr515F_806R_03","D6_Skin_V2-tr515F_806R_04","D6_Skin_V3-tr515F_806R_01","D6_Skin_V3-tr515F_806R_02","D6_Skin_V3-tr515F_806R_03","D6_Skin_V4-tr515F_806R_01","D6_Skin_V4-tr515F_806R_02","D6_Skin_V4-tr515F_806R_03","D6_Skin_V4-tr515F_806R_04","D6_Skin_V5-tr515F_806R_01","D6_Skin_V5-tr515F_806R_02","D6_Skin_V5-tr515F_806R_03","D6_Skin_V5-tr515F_806R_04","D6_Skin_V6-tr515F_806R_01","D6_Skin_V6-tr515F_806R_02","D6_Skin_V6-tr515F_806R_03","D6_Skin_V6-tr515F_806R_04","D6_Skin_V7-tr515F_806R_01","D6_Skin_V7-tr515F_806R_02","D6_Skin_V7-tr515F_806R_03","D6_Skin_V7-tr515F_806R_04","D6_Skin_V8-tr515F_806R_01","D6_Skin_V8-tr515F_806R_02","D6_Skin_V8-tr515F_806R_03","D6_Skin_V8-tr515F_806R_04","D7_Soil_515F_806R_01","D7_Soil_515F_806R_02","D7_Soil_515F_806R_03","D7_Soil_515F_806R_04","D7_Soil_tr515F_806R_01","D7_Soil_tr515F_806R_02","D7_Soil_tr515F_806R_03","D7_Soil_tr515F_806R_04","D7_Soil_V1-tr515F_806R_01","D7_Soil_V1-tr515F_806R_02","D7_Soil_V1-tr515F_806R_03","D7_Soil_V1-tr515F_806R_04","D7_Soil_V2-tr515F_806R_01","D7_Soil_V2-tr515F_806R_02","D7_Soil_V2-tr515F_806R_03","D7_Soil_V2-tr515F_806R_04","D7_Soil_V3-tr515F_806R_01","D7_Soil_V3-tr515F_806R_02","D7_Soil_V3-tr515F_806R_03","D7_Soil_V3-tr515F_806R_04","D7_Soil_V4-tr515F_806R_01","D7_Soil_V4-tr515F_806R_02","D7_Soil_V4-tr515F_806R_03","D7_Soil_V5-tr515F_806R_01","D7_Soil_V5-tr515F_806R_02","D7_Soil_V5-tr515F_806R_03","D7_Soil_V5-tr515F_806R_04","D7_Soil_V6-tr515F_806R_01","D7_Soil_V6-tr515F_806R_02","D7_Soil_V6-tr515F_806R_03","D7_Soil_V6-tr515F_806R_04","D7_Soil_V7-tr515F_806R_01","D7_Soil_V7-tr515F_806R_02","D7_Soil_V7-tr515F_806R_03","D7_Soil_V7-tr515F_806R_04","D7_Soil_V8-tr515F_806R_01","D7_Soil_V8-tr515F_806R_02","D7_Soil_V8-tr515F_806R_03","D7_Soil_V8-tr515F_806R_04","D5_Wastewater_515F_806R_01","D5_Wastewater_515F_806R_02","D5_Wastewater_515F_806R_03","D5_Wastewater_515F_806R_04","D5_Wastewater_tr515F_806R_01","D5_Wastewater_tr515F_806R_02","D5_Wastewater_tr515F_806R_03","D5_Wastewater_tr515F_806R_04","D5_Wastewater_V1-tr515F_806R_01","D5_Wastewater_V1-tr515F_806R_02","D5_Wastewater_V1-tr515F_806R_03","D5_Wastewater_V1-tr515F_806R_04","D5_Wastewater_V2-tr515F_806R_01","D5_Wastewater_V2-tr515F_806R_02","D5_Wastewater_V2-tr515F_806R_03","D5_Wastewater_V2-tr515F_806R_04","D5_Wastewater_V3-tr515F_806R_01","D5_Wastewater_V3-tr515F_806R_02","D5_Wastewater_V3-tr515F_806R_04","D5_Wastewater_V4-tr515F_806R_01","D5_Wastewater_V4-tr515F_806R_02","D5_Wastewater_V4-tr515F_806R_03","D5_Wastewater_V4-tr515F_806R_04","D5_Wastewater_V5-tr515F_806R_01","D5_Wastewater_V5-tr515F_806R_02","D5_Wastewater_V5-tr515F_806R_03","D5_Wastewater_V5-tr515F_806R_04","D5_Wastewater_V6-tr515F_806R_02","D5_Wastewater_V6-tr515F_806R_03","D5_Wastewater_V6-tr515F_806R_04","D5_Wastewater_V7-tr515F_806R_01","D5_Wastewater_V7-tr515F_806R_02","D5_Wastewater_V7-tr515F_806R_03","D5_Wastewater_V8-tr515F_806R_01","D5_Wastewater_V8-tr515F_806R_02","D5_Wastewater_V8-tr515F_806R_03","D5_Wastewater_V8-tr515F_806R_04"
"d__Bacteria;p__Firmicutes;c__Clostridia;__;__",892,913,875,914,812,830,744,821,1084,1044,543,677,820,808,894,889,727,705,822,666,835,838,827,844,774,758,767,839,475,491,405,437,858,854,836,856,834,778,832,876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,16,8,7,11,14,12,0,1,5,0,14,4,4,10,0,2,0,6,7,10,4,0,1,8,0,2,5,9,17,4,17,11,3,24,2
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae",27,17,35,23,16,21,22,20,1,4,0,0,17,18,22,24,3,6,14,0,15,36,22,29,19,24,29,15,15,11,13,33,25,22,22,25,8,12,13,12,70,64,71,73,61,63,72,73,0,10,0,3,72,52,72,68,72,3,29,67,72,63,58,85,84,50,53,91,55,70,127,88,77,69,56,46,32,82,49,890,1050,922,1001,942,914,903,869,118,351,177,97,758,831,814,832,116,176,70,73,860,868,823,1023,1033,976,995,644,580,539,488,1112,942,1152,1003,437,389,393,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae",57,52,62,68,52,52,58,76,100,104,22,10,35,35,32,34,50,8,47,79,47,40,46,43,47,34,70,58,15,21,21,18,41,52,44,59,44,42,29,32,24,23,23,19,16,24,22,19,0,8,0,43,19,12,22,19,0,15,6,19,16,16,23,22,10,22,14,5,8,8,10,14,24,15,19,26,22,24,22,4400,4393,4418,4602,4404,4138,4111,4031,2495,2021,2356,2612,4614,4300,4590,4491,1186,1250,1125,1462,4494,4391,4301,4316,4464,4382,4072,805,1075,1256,1291,4231,4279,4133,4091,3394,3550,3628,3768,297,270,263,281,258,278,266,259,190,242,116,167,196,265,173,251,241,232,324,270,231,259,210,267,197,253,276,119,109,108,233,248,228,234,216,182,211
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae",234,265,251,277,248,247,220,243,133,194,218,401,239,259,207,256,228,137,151,218,223,242,230,227,247,234,258,204,42,44,69,43,232,210,226,204,194,174,245,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,65,76,80,69,77,58,49,102,18,56,140,82,78,70,79,5,22,97,85,54,73,44,82,64,65,64,12,21,31,59,87,81,68,77,53,58
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae",887,880,796,795,810,755,782,883,806,603,710,659,958,744,955,968,453,653,764,591,922,924,897,1005,758,923,845,876,504,464,442,484,823,832,914,868,572,713,703,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,182,171,167,165,162,140,161,15,34,8,42,118,180,166,179,17,59,60,37,165,166,118,179,153,139,105,34,78,28,46,157,188,127,209,93,66,109,106,365,286,293,310,292,291,221,261,251,198,229,364,259,272,280,224,167,313,224,261,284,262,317,305,316,282,255,326,327,320,245,318,325,240,246,201,232
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae",369,375,406,367,363,426,392,370,160,232,171,341,362,330,335,322,240,204,244,247,426,326,378,379,376,410,414,369,231,193,225,214,406,356,366,423,367,355,355,321,15,15,11,11,12,11,10,9,0,0,10,0,14,20,25,8,4,0,20,19,12,13,7,19,14,15,7,0,1,0,0,31,12,28,19,0,4,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,990,1012,963,914,963,875,903,912,746,910,733,582,910,988,1039,891,528,521,625,937,950,876,986,995,968,974,929,1459,1192,989,1078,1029,985,758,880,775,727
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae",27549,28030,25884,27571,29697,29017,28661,28860,22232,22617,23143,24438,24916,24200,24870,25112,28540,28677,28545,30324,25199,25438,25470,26643,29917,29919,29250,28700,9923,9828,10123,10693,28680,28329,27963,27425,33303,32430,33376,34964,0,1,0,0,8,0,3,0,658,0,0,0,0,0,0,14,0,193,0,0,5,0,0,0,13,0,0,0,66,91,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,201,165,222,213,232,180,230,382,353,156,69,221,184,198,200,202,292,100,182,167,199,186,215,229,204,264,130,111,64,246,266,174,222,190,200,236
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae",354,379,375,396,456,395,435,407,338,347,279,305,336,395,374,348,259,285,331,304,315,404,361,416,433,392,403,416,110,150,152,106,366,337,380,404,438,402,438,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,247,233,250,320,287,273,301,408,175,440,146,298,301,237,277,455,399,247,344,249,306,297,291,330,285,289,144,88,86,235,288,268,357,218,242,262
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae",13305,13093,13110,13083,12384,12214,12368,12253,10875,11180,12256,11267,12762,12562,12905,12511,10018,10076,11657,10268,12904,12964,12886,12396,12271,12382,12429,12352,11206,11533,11386,11843,12484,12295,12361,12542,10476,11140,10962,10306,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,1,0,86,0,0,0,0,5,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1741,1654,1637,1772,1542,1533,1581,1536,591,1140,1408,913,1500,1465,1466,1440,1026,1122,1035,1319,1450,1415,1420,1589,1588,1541,1529,2569,2385,2539,1524,1624,1576,1240,1225,1132,1153
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;__",215,253,223,233,331,265,288,293,217,232,178,391,227,202,251,262,267,215,316,406,235,233,229,262,256,266,301,279,217,285,244,272,247,266,288,272,243,281,327,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,19,16,11,20,15,6,2,14,0,9,16,9,9,6,18,0,11,5,13,10,9,8,7,12,9,5,19,13,8,10,3,17,18,27,19
